               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 142,            0.002034,           0.0015649,            0.017175,             0.71523,             0.83473,             0.87229,             0.87229,          0.00061681,           0.0031212,           0.0056478,            0.005347,            0.005347,            0.005347
                 143,            0.002047,           0.0015722,            0.016968,             0.72932,             0.84892,             0.87335,             0.87335,          0.00060172,           0.0031237,             0.00564,            0.005314,            0.005314,            0.005314
                 144,           0.0020121,           0.0015383,            0.017364,             0.72948,             0.84855,             0.87404,             0.87404,          0.00059409,           0.0031321,            0.005624,            0.005281,            0.005281,            0.005281
                 145,           0.0020284,           0.0015356,            0.017023,             0.72955,             0.84611,              0.8747,              0.8747,          0.00059246,           0.0031349,           0.0056102,            0.005248,            0.005248,            0.005248
                 146,            0.002058,           0.0015587,            0.017225,             0.72947,             0.84398,             0.87582,             0.87582,          0.00060057,            0.003136,           0.0056053,            0.005215,            0.005215,            0.005215
                 147,           0.0020807,            0.001548,            0.017292,             0.72838,             0.84144,             0.87698,             0.87698,          0.00059548,           0.0031441,            0.005586,            0.005182,            0.005182,            0.005182
                 148,           0.0020305,           0.0015745,            0.017513,             0.72781,             0.82782,             0.88008,             0.88008,          0.00058857,            0.003149,           0.0055782,            0.005149,            0.005149,            0.005149
                 149,           0.0020425,            0.001528,            0.017234,             0.73977,             0.83595,             0.87952,             0.87952,          0.00059439,           0.0031409,           0.0055671,            0.005116,            0.005116,            0.005116
                 150,           0.0019975,           0.0015204,            0.017141,              0.7382,             0.83526,             0.87877,             0.87877,          0.00059401,           0.0031338,           0.0055543,            0.005083,            0.005083,            0.005083
                 151,           0.0020133,           0.0015053,            0.017064,             0.73745,             0.83313,             0.87893,             0.87893,          0.00060617,           0.0031422,           0.0055487,             0.00505,             0.00505,             0.00505
                 152,           0.0020201,           0.0015346,            0.017239,             0.73816,              0.8328,             0.87907,             0.87907,          0.00060811,           0.0031471,           0.0055295,            0.005017,            0.005017,            0.005017
                 153,           0.0020322,            0.001517,            0.017055,             0.74183,             0.82909,              0.8797,              0.8797,          0.00059755,           0.0031496,           0.0055138,            0.004984,            0.004984,            0.004984
                 154,           0.0019637,           0.0015309,             0.01707,             0.75523,             0.83537,             0.88026,             0.88026,          0.00059498,            0.003149,           0.0055013,            0.004951,            0.004951,            0.004951
                 155,            0.002009,           0.0015094,            0.017219,             0.75319,             0.82572,             0.88017,             0.88017,          0.00059954,           0.0031436,           0.0054886,            0.004918,            0.004918,            0.004918
